Conference name,community
mobile adhoc and sensor systems,13990
vehicular technology conference,13990
international conference on communications,13990
acm ieee international conference on mobile computing and networking,13990
international conference on embedded networked sensor systems,13990
conference on emerging network experiment and technology,13990
personal indoor and mobile radio communications,13990
ieee international conference on pervasive computing and communications,13990
international conference on computer communications and networks,13990
wireless communications and networking conference,13990
international conference on networks and communications,13990
information processing in sensor networks,13990
modeling and optimization in mobile ad hoc and wireless networks,13990
acm/ieee international conference on mobile computing and networking,13990
international symposium on information theory,13990
conference on information sciences and systems,13990
mobile ad hoc networking and computing,13990
international conference on network protocols,13990
american control conference,14010
conference on decision and control,14010
international geoscience and remote sensing symposium,14010
international conference on cyber-physical systems,14010
acm symposium on applied computing,14018
genetic and evolutionary computation conference,14018
congress on evolutionary computation,14018
ieee international conference on fuzzy systems,14018
international conference on mobile systems applications and services,14018
conference on computer supported cooperative work,14040
conference on recommender systems,14040
user interface software and technology,14040
hawaii international conference on system sciences,14040
designing interactive systems,14040
international conference on human-computer interaction,14040
symposium on principles of database systems,14125
knowledge discovery and data mining,14125
international conference on management of data,14125
pacific-asia conference on knowledge discovery and data mining,14125
international conference on data engineering,14125
international semantic web conference,14125
web search and data mining,14125
advances in geographic information systems,14125
international conference on data mining,14125
international world wide web conferences,14125
international acm sigir conference on research and development in information retrieval,14125
conference on information and knowledge management,14125
siam international conference on data mining,14125
european semantic web conference,14125
advances in social networks analysis and mining,14125
international conference on computational linguistics,14127
conference of the european chapter of the association for computational linguistics,14127
ieee automatic speech recognition and understanding workshop,14127
empirical methods in natural language processing,14127
north american chapter of the association for computational linguistics,14127
international joint conference on natural language processing,14127
conference of the international speech communication association,14127
international conference on acoustics speech and signal processing,14127
meeting of the association for computational linguistics,14127
international conference on learning representations,14133
neural information processing systems,14133
international joint conference on neural network,14133
international conference on automated planning and scheduling,14133
international conference on artificial neural networks,14133
international conference on machine learning,14133
national conference on artificial intelligence,14133
uncertainty in artificial intelligence,14133
international joint conference on artificial intelligence,14133
computational learning theory,14133
advanced video and signal based surveillance,15226
international conference of the ieee engineering in medicine and biology society,15226
international symposium on biomedical imaging,15226
workshop on applications of computer vision,15226
medical image computing and computer assisted intervention,15226
international conference on image processing,15226
acm multimedia,15226
international conference on pattern recognition,15226
international conference on document analysis and recognition,15226
ieee international conference on automatic face and gesture recognition,15226
asian conference on computer vision,15226
european conference on computer vision,15226
international conference on multimedia and expo,15226
international conference on multimedia retrieval,15226
international conference on biometrics,15226
acm sigmm conference on multimedia systems,15226
international conference on computer vision,15226
quality of multimedia experience,15226
british machine vision conference,15226
asia and south pacific design automation conference,15237
international symposium on circuits and systems,15237
international solid-state circuits conference,15237
symposium on cloud computing,15237
high performance computer architecture,15237
design automation and test in europe,15237
design automation conference,15237
field programmable gate arrays,15237
custom integrated circuits conference,15237
international conference on cloud computing,15258
architectural support for programming languages and operating systems,15258
cluster computing and the grid,15258
international parallel and distributed processing symposium,15258
acm sigplan symposium on principles and practice of parallel programming,15258
passive and active network measurement,15258
hot topics in networks,15258
international symposium on computer architecture,15258
dependable systems and networks,15258
usenix conference on file and storage technologies,15258
high performance distributed computing,15258
international conference on parallel processing,15258
international symposium on microarchitecture,15258
operating systems design and implementation,15258
international conference on supercomputing,15258
european conference on computer systems,15258
internet measurement conference,15258
networked systems design and implementation,15258
acm symposium on parallel algorithms and architectures,15258
usenix technical conference,15258
symposium on operating systems principles,15258
international conference on distributed computing systems,15258
computer and communications security,15510
european symposium on research in computer security,15510
network and distributed system security symposium,15510
annual computer security applications conference,15510
applied cryptography and network security,15510
international cryptology conference,15510
public key cryptography,15510
international conference on the theory and application of cryptology and information security,15510
usenix security symposium,15510
ieee symposium on security and privacy,15510
ieee european symposium on security and privacy,15510
robot and human interactive communication,15514
human robot interaction,15514
foundations of computer science,15514
symposium on discrete algorithms,15514
intelligent robots and systems,15514
robotics: science and systems,15514
symposium on principles of programming languages,15517
international conference on software engineering,15517
mining software repositories,15517
international conference on program comprehension,15517
international conference on software testing verification and validation,15517
foundations of software engineering,15517
computer aided verification,15517
international symposium on software testing and analysis,15517
requirements engineering,15517
conference on advanced information systems engineering,15517
logic in computer science,15517
programming language design and implementation,15517
automated software engineering,15517
tools and algorithms for construction and analysis of systems,15517